Leader,Follower,LagCorr
006,092,0.16002867821517214
094,033,0.16007524588438982
096,080,0.16016007997519355
056,079,0.16016047956471138
082,054,0.16023323695227187
039,021,0.16025765851813212
041,007,0.1603094981641463
089,014,0.16032547922133394
050,030,0.16037010820493353
072,066,0.16051205387629175
044,093,0.16062799860860344
057,033,0.16063348078636236
027,083,0.16069950615302162
085,054,0.16070487899288446
014,092,0.16070596357174532
046,095,0.16071794023764158
081,018,0.16072205879493584
056,046,0.1608009333812125
097,092,0.16082680332764795
065,025,0.16087606440823332
082,009,0.16088618935737545
058,004,0.16092281647095777
017,043,0.16095909202215664
025,088,0.1610721297198521
023,054,0.16112357197987742
008,006,0.16114565306031578
015,089,0.16114634816689877
020,059,0.1611695950986917
031,082,0.16123623834608783
062,009,0.1612656913945681
045,057,0.16129748207505307
066,065,0.1613552527720736
080,064,0.1613643925477576
015,028,0.1614667921383108
092,060,0.16146789008434
082,079,0.16148118819349028
045,042,0.1614906886786806
038,070,0.1615057590020087
024,044,0.16159962289114643
092,049,0.16171276718251534
023,050,0.1617979271499971
091,001,0.16183183223621986
007,055,0.1618467624406671
001,066,0.16185476301001667
100,045,0.161862220319169
092,053,0.16189715142479577
002,018,0.16198832341512387
022,016,0.16198932373167846
081,082,0.16207755227900403
088,027,0.1620934714541046
015,082,0.16218308203569895
071,040,0.16221814697406903
091,033,0.16222969264644793
001,083,0.16226969324369772
059,067,0.1623189336460334
011,094,0.16234313268577397
097,076,0.16234773869552818
013,009,0.16235214209446977
063,006,0.1624147927527417
014,017,0.16242662924871518
045,037,0.16245478715240555
083,044,0.16246490189491766
044,023,0.1624841926060166
094,050,0.16249763130160225
052,059,0.16249765466582894
026,002,0.1625118118863395
008,099,0.16271709326273687
071,058,0.16276605098552524
020,079,0.1628232760945974
089,042,0.16291742294415998
027,086,0.16298596727512918
095,094,0.16302808332328877
067,017,0.16309572762530306
097,038,0.16314959631541115
015,043,0.16324700853681676
008,004,0.16325294646392774
015,042,0.1632726368849442
025,079,0.16327787640301017
022,010,0.16332148880406125
023,058,0.163350357675561
071,028,0.16339288638902008
009,003,0.1634086160234072
094,089,0.16343889543146917
031,058,0.16354222111895844
097,087,0.16354904578702867
014,098,0.16359020836571045
068,015,0.16365834134776513
034,042,0.1636737369477275
053,022,0.16376122331532061
080,002,0.16385957596270992
022,041,0.16387003203447165
025,065,0.16388710172897117
012,022,0.1638891026683795
031,048,0.16392390429561451
071,021,0.1639296912144866
079,096,0.1639399962895803
026,081,0.16396179038520906
023,003,0.1639725778047939
035,080,0.16399415056221445
072,037,0.16405798803539634
087,080,0.1641066263101756
067,098,0.1641867897150415
080,035,0.16424225259796033
046,012,0.16428716266494797
009,008,0.16440379055531798
061,072,0.1644062413641637
023,084,0.1644569370370306
051,015,0.16447964260315137
091,095,0.16457141338855558
022,052,0.1645786062303643
045,014,0.16458971683893553
041,084,0.16459764811779326
098,009,0.1646293543571968
078,024,0.16465795318841284
021,060,0.1647079885974898
015,031,0.16475031733803983
022,036,0.1649400762852658
072,100,0.1649635690175778
060,094,0.16497299776040975
017,074,0.1650801454317072
085,001,0.1651351803231788
027,066,0.16525651826216192
066,043,0.16529401770931898
059,047,0.1653153153933221
058,007,0.1653869503498
004,058,0.16558948227491027
070,074,0.1656250940155745
088,083,0.16563803993530782
030,050,0.16566378145522384
091,032,0.16567567966249375
027,018,0.16574622115868692
040,089,0.16581136584981362
046,088,0.16585705544976895
024,084,0.16586718457313018
092,079,0.16589741126583282
083,033,0.1659488885907749
099,033,0.16597759911561924
095,004,0.1659796624399517
060,015,0.16599119914373603
040,025,0.16599557862333228
024,047,0.16599738764260125
092,081,0.16601453327692298
092,044,0.16610062499311476
015,033,0.16614832677165534
001,091,0.16637296847614225
025,078,0.16639061595806365
019,015,0.16642190616465544
089,023,0.16644961071288525
062,022,0.16646378850322172
013,059,0.16646953926949226
057,018,0.16647836595683269
060,091,0.16651258584279363
066,009,0.16658713776811737
012,010,0.1666377694502362
016,022,0.16664324446541878
092,078,0.16665206364252397
014,025,0.166654880826042
097,046,0.1666666275360816
036,018,0.16671402845401365
059,001,0.16673282595078354
043,088,0.1667401674669833
063,036,0.16683036005547308
006,017,0.1668933717571026
041,015,0.16692122559552072
006,008,0.16704445958269548
070,061,0.16709505653580742
024,078,0.16713946801103258
078,098,0.1672007712484513
059,020,0.1672248150820009
086,055,0.16727202557131712
019,046,0.16727566031721736
058,098,0.16734004788170706
045,028,0.1673828171093243
037,045,0.16739746014299783
077,011,0.16741945525196308
033,003,0.16748115745908057
080,044,0.16749037850445003
084,054,0.16759131411129893
003,018,0.16762065318705466
015,003,0.16765443098901203
095,027,0.16779844053389226
072,024,0.16790093437419565
017,050,0.16799006147453704
017,040,0.16802590877402013
088,043,0.16819435048549072
023,043,0.16822592030991398
040,098,0.16827569643089105
009,098,0.1682846398321226
019,086,0.16831890139082967
061,013,0.16833548526801123
059,064,0.16837399966863636
008,034,0.16837860104877064
006,063,0.16838733905331874
088,065,0.16842406993841974
075,079,0.16844893860329646
025,093,0.16845835298705858
088,078,0.16850980661888135
088,042,0.16861185049794336
074,093,0.16861429066094907
092,015,0.16863282595700946
060,018,0.1686476203172413
027,025,0.16864794782108394
089,002,0.16874645374710265
037,080,0.1689069836774456
039,097,0.16892462094404348
001,059,0.16897069213305368
013,088,0.16900419982219003
023,041,0.1690103766948121
051,080,0.16902210687202807
089,074,0.169026612744422
087,045,0.16905466139612843
057,045,0.16907291376162972
005,091,0.1690950171771611
015,095,0.16912778283293523
053,004,0.1692442529157717
004,042,0.16928555720448488
038,057,0.16939924655964814
099,065,0.16941944123372008
024,056,0.16944749227566122
072,074,0.1694578885131594
066,095,0.16946449060558133
036,071,0.1697512676264818
038,042,0.16978903162872874
004,008,0.16980053900152112
084,023,0.16982107471374785
024,012,0.1698306908171025
077,048,0.1698817989003027
018,094,0.16993447572887027
033,094,0.1700568919779502
034,053,0.17007156454911132
031,015,0.17012476641451643
050,094,0.17013273488592093
056,034,0.1701579216995359
016,059,0.1701848300169194
032,015,0.17018539066379607
087,097,0.17022989514486783
080,051,0.17029741343513122
041,066,0.1704752516995328
038,085,0.17052540032587857
088,014,0.1705336230416504
030,094,0.17058341009628616
042,004,0.1706668817955797
071,015,0.1707060122306896
005,095,0.17071127988194465
093,007,0.1707374283717477
023,074,0.17076928743655015
025,055,0.17077708523658588
058,030,0.1708845260927022
033,027,0.1709143873149685
034,095,0.17093897953610326
014,046,0.17098430840018786
030,091,0.1710665371176163
007,039,0.17114215035848615
025,080,0.17115844396211805
015,051,0.17124004813548868
080,087,0.17130358333152343
070,038,0.1713248139435011
033,083,0.1713333854628707
001,023,0.17134461963204228
094,018,0.17136122162939627
098,080,0.17139937251100135
089,006,0.17143472513692798
066,058,0.1715945850077463
054,013,0.17161360493693442
072,041,0.1716351907064478
004,080,0.1716793621566455
066,029,0.17170273126443314
089,068,0.17173051988851476
053,092,0.17177600691945286
040,070,0.17177672065364696
040,066,0.17179994173330218
038,048,0.1718240129661348
027,095,0.17188796216899022
048,099,0.17189657313606294
095,015,0.17197799516392367
034,079,0.1720038139879875
034,080,0.17201802055919188
083,072,0.1720324887057198
041,094,0.17205028983294815
007,090,0.17208390158161846
002,092,0.1721564005191874
071,001,0.1722378486596009
030,083,0.17228971435105755
095,046,0.17232739431662328
006,047,0.17236248986884023
042,038,0.17244024515481396
059,013,0.17251069895559556
094,062,0.17251324673083349
081,089,0.1725220428649463
039,083,0.1725239009597197
018,042,0.17253139196682943
081,098,0.17256515454131882
032,046,0.17256705452667373
053,080,0.17266741943570707
027,026,0.172672567621021
045,073,0.17274911109173013
097,039,0.17277481524312646
061,070,0.17289442456858214
088,015,0.17292723580980907
059,046,0.1729796657513181
080,075,0.17298764399948371
059,049,0.173018487227808
046,010,0.17313432168846127
015,014,0.17313743683175428
092,068,0.17314272119777
030,023,0.17319950403206344
046,055,0.17323656475754068
009,029,0.1732847781075091
005,046,0.17334477951802807
058,046,0.1733511208029904
098,023,0.17335247742730472
070,083,0.17336649674633176
065,099,0.17337077660132577
042,088,0.1734684572424772
092,067,0.173489284270104
044,100,0.17351560601514873
014,012,0.17355851418368187
073,017,0.17356278942735265
008,009,0.17380666017240184
015,053,0.17387808274029481
065,031,0.17398640633705936
033,081,0.17403200605441876
077,097,0.17406246216803983
093,044,0.17411029973233583
087,072,0.17415450647902864
048,059,0.17417281627228762
090,045,0.1741782981128274
046,053,0.17419737456793646
058,088,0.17419791348211988
062,085,0.17429158090274469
091,050,0.1744573766466808
040,046,0.17447067402841798
065,070,0.17448278386399732
075,004,0.17453802578905336
012,054,0.1746243609189965
031,021,0.1746274264852937
089,065,0.17466800202806326
075,092,0.17470952132185655
044,094,0.17472660970331355
019,026,0.17474613536049857
041,044,0.17476498629748
055,088,0.17476518836367202
057,017,0.17477858463866355
063,089,0.17478121564105517
010,022,0.17482813931940333
025,068,0.17484770467694227
071,068,0.1748899986456835
001,080,0.1749000267090888
078,039,0.1749147296136491
063,039,0.17497268370215407
092,036,0.17497964170398306
066,081,0.17501910515405725
038,007,0.17516247509600352
075,048,0.17527706786687203
018,073,0.1752802008310568
015,068,0.17531750627674234
070,042,0.1753177144572801
027,044,0.17536708362313472
054,082,0.1754025514525654
025,067,0.1754094421835921
088,013,0.17545046629402045
063,098,0.17554404924814257
080,098,0.1755682599332253
026,060,0.17570400338598374
095,005,0.17574779579545138
044,033,0.1758599633590228
042,006,0.1758634787756834
021,041,0.17588264611130613
018,024,0.17590121483489324
035,079,0.1760145464386312
048,039,0.1760792036978687
045,087,0.17610202374573888
038,093,0.17613300314353905
083,070,0.17617315559306623
062,094,0.17619274556051054
067,059,0.17620965772287875
030,081,0.17621818796815167
088,055,0.176248548244934
021,071,0.1763951455487119
055,059,0.1765229642394722
084,037,0.1765626965253586
080,001,0.17662916167350493
080,025,0.17678410692586363
044,092,0.17681379340008974
015,092,0.1768279103406181
070,045,0.17682982662447094
093,002,0.1768360060343389
017,093,0.17687331467839476
018,048,0.17691676501761164
014,015,0.17693872039851932
083,088,0.1770542191956749
015,006,0.17708233043930016
030,006,0.177118033463954
072,029,0.17715530459443207
082,061,0.17718043298899355
043,023,0.1771843783228906
045,013,0.17722443814615313
056,026,0.1772679989388954
061,094,0.17728867234946297
080,037,0.17730560088382377
080,096,0.17735334518205179
023,081,0.17741010606781707
045,016,0.177539114825255
075,022,0.17754008855991693
017,060,0.17758071107242115
055,048,0.1775908221753743
093,038,0.1777246504139222
010,012,0.17772932290565693
060,095,0.17773900091191802
050,023,0.1777433478715581
079,031,0.17777482633480388
046,016,0.17783806979661576
027,033,0.17799139047644438
039,009,0.17809036404665238
080,004,0.17809584447309776
092,030,0.17820517306045183
083,001,0.17825247535915711
006,089,0.17834301401021732
059,052,0.17835402637103528
033,002,0.17837652330341552
042,045,0.1784151097791822
043,082,0.17852061190613264
033,091,0.1785439927301468
003,033,0.17859137895266633
076,059,0.17864585307876632
016,033,0.17865706981397514
063,092,0.17868357796868253
011,077,0.17869679799220511
009,039,0.17871480050726704
032,095,0.17872989317236676
072,062,0.178760519571731
012,046,0.17887257422005953
067,099,0.17895462476791413
065,088,0.17902618448642496
018,055,0.17903468279569149
078,025,0.1791154370288006
022,096,0.1791207054621877
025,050,0.179155356862027
025,073,0.1791715395296077
057,099,0.17920019367666484
077,050,0.17944012547303856
040,031,0.17946212379052992
005,085,0.17949315680223393
082,074,0.17962859344812182
010,033,0.17970991512212584
007,038,0.1797170355900328
063,025,0.17973836394311032
012,014,0.17974563484131878
050,017,0.17978179821118986
070,059,0.17989080023060766
100,015,0.1799611638714987
022,075,0.18000532372213393
032,091,0.18004271371150435
095,091,0.18008513778202564
093,025,0.18021198255577028
003,009,0.18023501445494255
085,062,0.18032983638586972
017,070,0.1803308785940685
054,085,0.1804040144454763
022,012,0.18043441239419356
077,009,0.18044948364173446
088,062,0.18054656648494122
063,095,0.18057785477292745
049,059,0.18064509777744941
088,028,0.1806515043985457
025,043,0.1806761467408525
038,005,0.18068566008142675
031,079,0.1806928329373086
063,087,0.1807126040794346
071,080,0.18072054373108815
047,039,0.18075694283456437
085,061,0.18078680460305135
090,012,0.180868173038051
045,076,0.1808924289037937
029,098,0.18096454746783927
084,033,0.18097435971989037
046,050,0.1810149255920296
078,092,0.18103191602443103
017,027,0.18107032097930784
014,039,0.18107986024303213
015,034,0.18118518201580283
090,097,0.18127544321716185
055,019,0.18139845399553703
091,019,0.18143600006056873
039,078,0.181450941416014
044,011,0.18147191250371195
006,015,0.18148050926854628
026,039,0.1814920547658753
045,021,0.181582445654924
071,055,0.1816019098705437
045,096,0.1816144552640053
007,046,0.18165707625526004
098,012,0.18166957300669934
065,066,0.18168306204606913
072,043,0.18169941584746957
039,007,0.18176318022168353
082,045,0.18184812322222482
088,001,0.18187620819981135
007,056,0.18201961325846258
015,041,0.18204512378273177
091,059,0.18207607070683127
029,089,0.18211348010818362
086,031,0.18211862854405542
062,088,0.18223426791899683
042,089,0.18225419674836862
089,001,0.18234316967299352
078,088,0.1823698066552476
039,019,0.1824682324992702
060,021,0.18247068593174476
026,029,0.1824748913231834
085,038,0.18251899987347014
092,084,0.1825228840782279
091,030,0.182535841212272
025,013,0.1826117799777087
045,099,0.18262419554428236
080,053,0.1826800668338516
024,083,0.18278367775013526
072,033,0.18278860643483594
071,081,0.18279631166999324
050,015,0.18280679919435056
057,038,0.18282285842056248
089,013,0.18284677262887622
098,050,0.18290944971744305
042,071,0.18294644275784816
066,068,0.18303529649333036
092,056,0.18304339979996628
083,024,0.18310533141894808
045,054,0.18313032710861474
099,070,0.18313135430560662
056,007,0.18321372637431813
050,025,0.18327899549699764
079,044,0.18328778919360011
030,022,0.18329708276182788
044,059,0.18335890165523966
046,068,0.18337422890857566
013,033,0.18344831759435715
006,042,0.18350598845418895
033,024,0.18356444294400806
046,066,0.18362446091508283
009,077,0.18363160698307865
008,019,0.18365129975932576
046,003,0.18371464683939812
064,012,0.1837293724733721
093,017,0.18381647890360062
080,033,0.1839025302184943
012,068,0.18398140288540807
071,036,0.18400043453027184
042,095,0.18403806136524128
026,055,0.18406188047129576
017,047,0.1840778002304131
092,047,0.184178734914468
093,052,0.18419687858831535
066,072,0.18424002008532583
094,019,0.18425684338621387
006,030,0.18439912384552617
033,063,0.18442382077362027
027,088,0.18443029317652412
013,045,0.18443395245273478
033,080,0.18444289725779264
052,044,0.18446566888588264
088,060,0.18457536529570043
059,070,0.18461926782652555
073,098,0.18462499793645465
028,045,0.18463332125545437
015,050,0.18463383167827874
008,097,0.1846987005157582
095,032,0.18470972158974025
089,067,0.18476200157256165
041,021,0.18476619086538806
067,079,0.18487191963551805
039,063,0.18496979276576073
012,001,0.18512456826984075
013,062,0.1851533980345777
057,039,0.18517527136670517
099,045,0.1851944799497003
088,052,0.1853798533926233
089,052,0.18545976308581735
046,004,0.1855138248216071
092,011,0.18552249100913015
087,059,0.18552361877710113
094,041,0.18558894563758518
097,090,0.18566237744798353
046,034,0.18567190585277496
023,090,0.18567683856736952
042,018,0.1856946729710844
059,076,0.18569785829924795
037,084,0.18574176812683033
070,080,0.18576551889055093
051,034,0.18578566170161342
049,034,0.18579571545488477
081,026,0.18580029158557532
041,072,0.18588389007340878
060,092,0.18589549939219047
084,043,0.18593730283413148
074,082,0.18594746375141732
058,023,0.18598762961198873
081,044,0.1859952902507716
003,015,0.18603714978668773
085,066,0.18605685147736575
009,053,0.18607492413710822
022,077,0.1861020802786685
081,030,0.18612331561536213
024,018,0.1861705728592473
033,060,0.18620373937504953
095,042,0.18625606687696405
040,015,0.18628004780838686
055,007,0.18632814355500027
022,038,0.18638497061539466
088,067,0.1864360382836617
090,007,0.1864777072681874
001,088,0.18663819073824625
043,017,0.18666954819218554
013,003,0.18669972843884117
036,063,0.1867001497023055
015,010,0.1867051553827216
046,027,0.18672394568982836
059,075,0.1868250353837216
074,017,0.1868298647984713
073,045,0.18693579215512116
084,015,0.18693818139208526
043,066,0.18694581275159078
007,030,0.18697279315176624
003,099,0.18700949115534815
022,070,0.1870484971117428
021,061,0.18707089381457323
031,057,0.18709547226795434
060,088,0.18713084153282603
012,055,0.18721940048807073
040,071,0.1872736221318798
061,012,0.1873536330481505
055,086,0.18738089570220742
087,022,0.187390119666653
095,083,0.18747374108990683
031,065,0.18751558980324032
083,095,0.18752448034584138
